lat,lon,altitude_m,inside_receiver_hull,condition,linear_hrmse_0_25us_m,remote_branch_separation_us,mc_p50_0_1us_m,mc_p95_0_1us_m,mc_p50_0_25us_m,mc_p95_0_25us_m,mc_p50_0_5us_m,mc_p95_0_5us_m,mc_p50_1_0us_m,mc_p95_1_0us_m,class
17.6,105.9,10000,False,12.528625696072371,1596.7394883490585,10.337969011413753,413.6189056055513,1184.8218516657114,1034.0472640138782,2962.054629164279,2068.0945280277565,5924.109258328558,4136.189056055513,11848.218516657116,POOR
17.6,106.0,10000,False,12.911064013094746,1533.6402982206,8.123710271900869,400.2717628608559,1153.6831850206675,1000.6794071521399,2884.207962551669,2001.3588143042798,5768.415925103338,4002.7176286085596,11536.831850206676,POOR
17.6,106.1,10000,False,13.385181132232608,1495.7432591600511,6.1510043824792024,389.3815976266982,1135.0576406894645,973.4539940667455,2837.6441017236616,1946.907988133491,5675.288203447323,3893.815976266982,11350.576406894646,POOR
17.6,106.2,10000,False,13.96108640809046,1480.3054629169721,5.45774282630413,390.83412219839704,1131.4577284711377,977.0853054959925,2828.6443211778446,1954.170610991985,5657.288642355689,3908.34122198397,11314.577284711379,POOR
17.6,106.3,10000,False,14.655726615503957,1486.0297307932797,6.814052975803971,389.55413449070704,1140.23826695208,973.8853362267675,2850.5956673802,1947.770672453535,5701.1913347604,3895.54134490707,11402.3826695208,POOR
17.6,106.4,10000,False,15.49407800352892,1512.9308329931864,9.457127637061415,396.10690188282535,1164.5012909208795,990.2672547070632,2911.253227302198,1980.5345094141264,5822.506454604396,3961.069018828253,11645.012909208792,POOR
17.6,106.5,10000,False,16.51163534105123,1562.3939190235735,11.608514676242963,408.2332080608485,1205.7733322136173,1020.5830201521211,3014.4333305340433,2041.1660403042422,6028.866661068087,4082.3320806084844,12057.733322136173,POOR
17.6,106.6,10000,False,17.75877927927903,1637.443290704912,9.584046800960373,429.566696107634,1265.9878777187469,1073.916740269085,3164.9696942968667,2147.83348053817,6329.939388593733,4295.66696107634,12659.878777187467,POOR
17.6,106.7,10000,False,19.308236034828717,1743.3091434791415,7.186984223477929,454.4756667637474,1349.9514062322783,1136.1891669093686,3374.878515580696,2272.3783338187372,6749.757031161392,4544.7566676374745,13499.514062322784,POOR
17.6,106.8,10000,False,21.268089125368444,1888.4954578686375,7.00689883208206,492.83198429757135,1464.371875728103,1232.0799607439285,3660.9296893202577,2464.159921487857,7321.859378640515,4928.319842975714,14643.71875728103,POOR
17.6,106.9,10000,False,23.805529406512715,2086.792475792512,4.782445981762185,546.7576910393703,1620.051096105624,1366.894227598426,4050.127740264061,2733.788455196852,8100.255480528122,5467.576910393704,16200.510961056243,POOR
17.6,107.0,10000,False,27.1930827768563,2361.247165022939,3.9552307194631204,619.3057628770691,1834.9779793743862,1548.264407192673,4587.444948435966,3096.528814385346,9174.889896871931,6193.057628770692,18349.779793743863,POOR
17.6,107.1,10000,False,31.906574753982,2752.6243334762603,5.093469586594226,716.4413989795792,2140.9042254408896,1791.1034974489476,5352.2605636022245,3582.206994897895,10704.521127204449,7164.41398979579,21409.042254408898,VERY POOR
17.6,107.2,10000,False,38.857686832021024,3339.535697499312,7.203652843568097,879.1608289970641,2598.9605728245465,2197.9020724926604,6497.401432061366,4395.804144985321,12994.802864122732,8791.608289970642,25989.605728245464,VERY POOR
17.6,107.3,10000,False,50.04071252084533,4294.4627623078995,6.023864308130723,1138.8502085273649,3344.741543758979,2847.125521318412,8361.853859397448,5694.251042636824,16723.707718794896,11388.502085273649,33447.41543758979,VERY POOR
17.6,107.4,10000,False,70.81725193703346,6081.705977721728,3.1551402630643506,1600.6355372312214,4742.800738889993,4001.5888430780533,11857.001847224983,8003.177686156107,23714.003694449966,16006.355372312213,47428.00738889993,VERY POOR
17.6,107.5,10000,False,122.21151660408832,10522.728225239594,3.4887718650478488,2758.322344906718,8195.502996057343,6895.805862266796,20488.757490143355,13791.611724533592,40977.51498028671,27583.223449067184,81955.02996057342,VERY POOR
17.6,107.6,10000,False,452.5836471895685,39137.11382248621,5.176862498176137,10404.838601802909,30457.63800884756,26012.096504507273,76144.09502211888,52024.19300901455,152288.19004423777,104048.3860180291,304576.38008847553,VERY POOR
17.6,107.7,10000,False,265.27832412966893,23074.55016532653,1.3487576337963245,6278.992156596669,18272.32606587811,15697.480391491672,45680.815164695276,31394.960782983344,91361.63032939055,62789.92156596669,182723.2606587811,VERY POOR
17.6,107.8,10000,False,103.12879971824587,9035.5017337234,3.128281509846383,2479.170539835617,7167.073036789344,6197.926349589042,17917.68259197336,12395.852699178084,35835.36518394672,24791.705398356167,71670.73036789344,VERY POOR
17.6,107.9,10000,False,64.35343189980487,5686.197222525786,0.46044734597280007,1565.1505675164321,4512.231409913252,3912.87641879108,11280.57852478313,7825.75283758216,22561.15704956626,15651.50567516432,45122.31409913252,VERY POOR
17.6,108.0,10000,False,47.044835772306826,4196.819511656574,2.1983436877516023,1144.1345827839027,3333.7302048237316,2860.336456959757,8334.32551205933,5720.672913919514,16668.65102411866,11441.345827839028,33337.30204823732,VERY POOR
17.6,108.1,10000,False,37.29987724731704,3362.807401514427,3.176222188121383,906.1361344926327,2671.946346819277,2265.340336231582,6679.865867048193,4530.680672463164,13359.731734096385,9061.361344926328,26719.46346819277,VERY POOR
17.6,108.2,10000,False,31.090524210457637,2835.2356234854115,3.5532994432583114,775.0905398152388,2250.295983927338,1937.726349538097,5625.739959818346,3875.452699076194,11251.479919636691,7750.905398152388,22502.959839273382,VERY POOR
17.6,108.3,10000,False,26.818368143230536,2475.6900975598996,3.7078958156433934,680.5745011804127,1960.924093461516,1701.436252951032,4902.3102336537895,3402.872505902064,9804.620467307579,6805.745011804128,19609.240934615158,POOR
17.6,108.4,10000,False,23.722778335907865,2218.3409207432833,3.2158906690744398,617.9251918114451,1753.5458581671896,1544.8129795286127,4383.864645417975,3089.6259590572254,8767.72929083595,6179.251918114451,17535.4585816719,POOR
17.6,108.5,10000,False,21.39559038217684,2027.892720153181,6.541683892388308,563.3252502959966,1599.7538296448195,1408.3131257399914,3999.384574112049,2816.626251479983,7998.769148224098,5633.252502959966,15997.538296448196,POOR
17.6,108.6,10000,False,19.598124301118137,1883.730688575139,4.26550287178721,523.3225345233526,1485.8019759799736,1308.3063363083816,3714.504939949934,2616.612672616763,7429.009879899868,5233.225345233526,14858.019759799736,POOR
17.6,108.7,10000,False,18.181471908630964,1773.014399109409,4.77583133778741,495.15034172981257,1398.4689853543432,1237.8758543245315,3496.1724633858585,2475.751708649063,6992.344926771717,4951.503417298126,13984.689853543434,POOR
17.6,108.8,10000,False,17.047904241740397,1687.3344025314716,4.281100908207848,472.11859957819627,1341.265890322779,1180.2964989454908,3353.164725806948,2360.5929978909817,6706.329451613896,4721.185995781963,13412.658903227792,POOR
17.6,108.9,10000,False,16.130611361468894,1620.9571554704655,4.0859152113391035,457.3282035437133,1297.7516913694892,1143.320508859283,3244.3792284237234,2286.641017718566,6488.758456847447,4573.282035437132,12977.516913694893,POOR
17.6,109.0,10000,False,15.382360455175714,1569.842602264966,4.168571756201185,445.4865777496099,1257.9810816711117,1113.7164443740248,3144.952704177779,2227.4328887480497,6289.905408355558,4454.865777496099,12579.810816711117,POOR
17.7,104.5,10000,False,44.85614087179316,19576.832119376544,0.4394434745963346,5593.361471594745,14898.78731213596,13983.403678986862,37246.968280339905,27966.807357973725,74493.93656067981,55933.61471594745,148987.87312135962,VERY POOR
17.7,104.6,10000,False,43.877741380270216,19669.91801616532,0.3364911811044706,5327.4314261281415,14258.419745470826,13318.578565320357,35646.04936367707,26637.157130640713,71292.09872735414,53274.314261281426,142584.19745470828,VERY POOR
17.7,104.7,10000,False,57.817579253431305,26008.061747835818,0.22692006477921112,7061.599728338662,18861.554246377294,17653.999320846655,47153.88561594325,35307.99864169331,94307.7712318865,70615.99728338662,188615.542463773,VERY POOR
17.7,104.8,10000,False,116.27457777748631,50744.47282548217,0.33918915168371383,13967.811226200603,40368.46238634294,34919.52806550151,100921.15596585735,69839.05613100302,201842.3119317147,139678.11226200603,403684.6238634294,VERY POOR
17.7,104.9,10000,False,48.72533915852871,19852.25738384293,0.6877711161008792,5162.335930297517,14029.522452134364,12905.839825743791,35073.80613033591,25811.679651487582,70147.61226067183,51623.359302975165,140295.22452134365,VERY POOR
17.7,105.0,10000,False,24.702885425060042,9076.14989695982,1.3207831138416388,2414.753779267876,6342.361112747181,6036.884448169689,15855.902781867953,12073.768896339378,31711.805563735907,24147.537792678755,63423.61112747181,VERY POOR
17.7,105.1,10000,False,17.216650890018652,5566.106740084771,2.2578449143128894,1484.0926727135984,4015.2939794094627,3710.2316817839956,10038.23494852366,7420.463363567991,20076.46989704732,14840.926727135982,40152.93979409464,VERY POOR
17.7,105.2,10000,False,14.069735374280583,3951.313249926578,2.6269512788248575,1074.4237578735997,2836.2063957643068,2686.059394683999,7090.515989410766,5372.118789367998,14181.031978821533,10744.237578735996,28362.063957643066,VERY POOR
17.7,105.3,10000,False,12.56691627771315,3056.1013287031274,4.446267189751721,850.6853513724209,2210.7032727180617,2126.7133784310518,5526.758181795153,4253.4267568621035,11053.516363590306,8506.853513724207,22107.032727180613,VERY POOR
17.7,105.4,10000,False,11.82722110607999,2499.789988234377,5.394650391313856,680.8030430749302,1814.8534592255087,1702.0076076873256,4537.133648063773,3404.0152153746512,9074.267296127546,6808.0304307493025,18148.53459225509,POOR
17.7,105.5,10000,False,11.491980390747651,2127.979235505691,5.23985761671237,584.5553963409689,1562.8472136926594,1461.3884908524224,3907.1180342316484,2922.7769817048447,7814.236068463297,5845.5539634096895,15628.472136926594,POOR
