candidate_lat,candidate_lon,nearest_existing_km,best4_median_hrmse_0_25us_m,best4_p90_hrmse_0_25us_m,worst4_p90_hrmse_0_25us_m,full5_p90_hrmse_0_25us_m,best4_under_1km_fraction,inside_5rx_hull_fraction,four_visible_350km_fraction,five_visible_350km_fraction,is_mongcai,composite_score
17.7,106.2,130.98434791864796,232.98093550638737,460.4361292176743,2432.632907749057,448.07721303348563,0.9724310776942355,0.17042606516290726,0.7142857142857143,0.46115288220551376,False,61.973293768546
20.4,108.9,126.18828410629386,216.1385613470951,454.9195909950942,7412.9681700079545,435.56159850270325,0.9699248120300752,0.16541353383458646,0.8295739348370927,0.5538847117794486,False,61.66172106824925
20.4,104.4,225.05992100818426,165.81643186581297,625.44430770169,2710.944327636509,598.9218634366506,0.9949874686716792,0.2832080200501253,0.7418546365914787,0.48872180451127817,False,61.068249258160236
18.0,106.5,122.53993192202934,233.87023351026713,499.3219364855995,2141.3525994119254,488.8333731029058,0.9724310776942355,0.16541353383458646,0.7167919799498746,0.5388471177944862,False,61.03857566765578
22.8,105.3,293.6667369743479,127.69376338931136,516.5363524275009,5865.184128160317,500.8210638194034,0.9774436090225563,0.3508771929824561,0.7744360902255639,0.3333333333333333,False,60.78635014836795
17.7,105.6,118.03541474444742,246.75730229944082,467.219963244471,2286.322924779636,458.8690212672062,0.9724310776942355,0.14536340852130325,0.7142857142857143,0.41102756892230574,False,60.50445103857566
20.4,105.0,194.99026932908924,196.8397941704725,621.0723392816689,3077.838834553581,606.3000497844063,0.9849624060150376,0.24812030075187969,0.7844611528822055,0.5889724310776943,False,60.35608308605342
20.4,104.7,208.20393605016974,181.02410438144392,636.496489328071,2990.655213111401,626.094838013458,0.9949874686716792,0.2706766917293233,0.7644110275689223,0.5463659147869674,False,60.20771513353116
17.7,105.9,120.58515497804247,243.24537341100034,471.9587660122264,2573.6549612565805,459.60890208675187,0.9724310776942355,0.16040100250626566,0.7142857142857143,0.43859649122807015,False,60.08902077151337
22.5,105.6,250.84830167498427,135.01845471856072,516.80429627369,6363.355584141873,502.63404240481475,0.9699248120300752,0.3107769423558897,0.8045112781954887,0.41604010025062654,False,60.07418397626112
20.7,105.9,200.32673558326118,238.72387509730314,535.8157356039786,4812.33676502879,531.8989355729983,0.9548872180451128,0.19047619047619047,0.8471177944862155,0.6591478696741855,False,59.985163204747785
17.4,105.0,166.50399024782575,227.3077425512643,423.2384064287192,2323.0877090910744,417.07548039352446,0.9724310776942355,0.12531328320802004,0.7092731829573935,0.2531328320802005,False,59.83679525222553
21.3,106.2,162.25328177119508,226.44108616270765,553.9909030663899,5518.752364744606,543.9406987237469,0.9699248120300752,0.20551378446115287,0.8395989974937343,0.6416040100250626,False,59.673590504451035
21.9,106.2,168.9466324405757,180.52777788843662,538.3837022272854,7678.619578902398,525.0572101309425,0.9699248120300752,0.24310776942355888,0.8270676691729323,0.568922305764411,False,59.49554896142434
21.6,106.2,163.20685347378213,205.3141699852657,551.7450295969238,6184.262671927342,537.1771544843222,0.9699248120300752,0.22305764411027568,0.8320802005012531,0.6115288220551378,False,59.34718100890208
20.1,104.7,179.76220830045037,197.95303278499358,655.8083941184724,2615.193444290565,635.7039745301737,0.9899749373433584,0.2506265664160401,0.7518796992481203,0.5588972431077694,False,59.25816023738872
17.4,104.7,182.06432513100833,223.64842021891207,429.07142840211003,2241.1029749420118,415.415864224694,0.9724310776942355,0.12280701754385964,0.706766917293233,0.21553884711779447,False,59.19881305637982
21.0,109.5,183.30568760733192,214.8767756228505,414.6999032286474,9108.76359582441,408.0095454093851,0.9699248120300752,0.16290726817042606,0.8045112781954887,0.40100250626566414,False,59.02077151335311
21.0,106.2,166.27620150806146,241.92370163988244,548.0146616903772,5381.802547120892,531.589614202166,0.9624060150375939,0.18546365914786966,0.8446115288220551,0.6591478696741855,False,58.635014836795264
20.1,105.0,164.24590843975147,215.99649975490937,656.0259039045675,2740.6641895673615,646.4540385086173,0.9824561403508771,0.21804511278195488,0.7794486215538847,0.606516290726817,False,58.21958456973294
22.2,106.2,180.7610305969177,168.19499750852813,560.4891191547948,8528.076557857808,540.1500723356666,0.9699248120300752,0.2656641604010025,0.8195488721804511,0.5137844611528822,False,58.160237388724035
20.4,105.6,182.4614002827448,236.55292100184417,578.0531637297693,3990.695347310056,567.5609642563086,0.9523809523809523,0.18546365914786966,0.8446115288220551,0.656641604010025,False,58.05637982195846
20.1,104.4,199.07619141619656,182.69006718672267,677.4468746347525,2698.7724504358307,653.3984968812922,0.9874686716791979,0.2656641604010025,0.7368421052631579,0.5012531328320802,False,57.9673590504451
18.0,106.2,101.98108042400897,251.5723540522008,513.8617003975595,2140.1814012399627,500.4937547620418,0.9699248120300752,0.15789473684210525,0.7142857142857143,0.5288220551378446,False,57.87833827893175
20.4,105.9,184.0945639410843,253.49861450342033,544.1239805508206,4698.787153538107,538.0042480234808,0.9448621553884712,0.17042606516290726,0.8521303258145363,0.6716791979949874,False,57.7299703264095
20.4,108.6,96.06235538718643,231.60287199858564,497.3806546243108,9726.148954189448,487.1009030350425,0.9699248120300752,0.14536340852130325,0.8370927318295739,0.6040100250626567,False,57.50741839762612
